Key,Russian,English
EnBtn,АНГЛИЙСКИЙ,ENGLISH
RuBtn,РУССКИЙ,RUSSIAN
OptMusic,МУЗЫКА,MUSIC
OptFX,ЗВУКОВЫЕ ЭФФЕКТЫ,FX
OptSound,ЗВУК,SOUND
OptLanguage,ЯЗЫК,LANGUAGE
OptExit,ВЫХОД,EXIT
OptOptions,ОПЦИИ,OPTIONS
OptLoadGame,ЗАГРУЗКА,LOAD GAME
OptNewGame,НОВАЯ ИГРА,NEW GAME
,,
MenuExit,ВЫХОД,EXIT
MenuOptions,ОПЦИИ,OPTIONS
MenuRestart,РЕСТАРТ,RESTART
,,
Searching,ПОИСК,SEARCHING
SearchHold,УДЕРЖИВАЙ,HOLD
SearchHeader,ЗАБРОШЕННАЯ СТАНЦИЯ,ABANDONED STATION
,,
LtChemicals,ХИМИКАТЫ,CHEMICALS
LtCloth,ТКАНЬ,CLOTH
LtGas,ГАЗ,GAS
LtMetal,МЕТАЛ,METAL
LtPetroleum,НЕФТЬ,PETROLEUM
LtSupplies,ПРИПАСЫ,SUPPLIES
,,
CourCourier,КУРЬЕР,COURIER
CourSend,ОТПРАВИТЬ,SEND
CourCargoHold,ТРЮМ,CARGO HOLD
ShipHold,ТРЮМ,CARGO HOLD
ShipDrop,ВЫБРОСИТЬ,DROP
,,
,,
DeathLuck1,МЁРТВАЯ УДАЧА,DEAD LUCK
DeathLuck2,"Крики грифов и запах разлагающейся плоти привели вас к могучему дереву, на ветвях которого висели три трупа.",The screams of the vultures and the smell of decaying flesh led you to a mighty tree with three corpses hanging from its branches.
DeathLuck3,Пройти мимо,Pass it by
DeathLuck4,Похоронить трупы,Bury corpses
Dinner1,ОБЕД ПОДАН,THE DINNER IS SERVED
Dinner2,"Из-за холма на острове до Вас доносятся крики «Еда, аппетитная, вкусная еда за топливо». Добравшись до источника шума, Вы замечаете фигуру под палаткой, а перед ним скромно накрытый стол. Он предлагает присесть за стол и обсудить детали обмена.","You hear screams from over the hill on the island ""Food, mouthwatering, delicious food for fuel"". When you reach the source of the noise, you notice a figure under the tent and a modestly laid table in front of him. He offers to sit down at the table and discuss the details of the exchange."
Dinner3,Присесть за стол,Sit down
Dinner4,Отказаться,Refuse
EasyDeal1,ЛЁГКИЙ НАВАР,EASY DEAL
EasyDeal2,"Вы встретили двух выживших, которые предлагают Вам купить по выгодному курсу в обмен на топливо несколько товаров, которые можно обменять втридорога далее в поселении по пути",You met two survivors who offer you to buy several goods at a favorable rate in exchange for fuel. These goods can be exchanged at crazy amount in the settlement further along the way.
EasyDeal3,Согласиться,Accept the proposal
EasyDeal4,Отказаться,Refuse
LastBreath1,ПОСЛЕДНИЙ ВЗДОХ,THE LAST BREATH
LastBreath2,"Вы слышите мольбы о помощи, на обочине лежит существо, отдаленно напоминающее человека. Оно говорит, что уже никогда не сможет восстановиться и молит закончить его страдания.",You hear pleas for help. On the sidelines lies a creature that vaguely resembles a person. He says that he will never be able to recover and begs to end his suffering.
LastBreath3,Избавить от страданий,Spare his suffering
LastBreath4,Пройти мимо,Pass it by
NaturesPower1,СИЛА ПРИРОДЫ,POWER OF NATURE
NaturesPower2,"Пролетая над остатками леса на одном из островов, Вы заметили на опушке грациозного оленя.",Flying over the remnants of the forest on one of the islands you noticed a graceful deer at the edge.
NaturesPower3,Убить животное,Kill an animal
NaturesPower4,Оставить в живых,Keep alive
MyPrecious1,МОЯ ПРЕЛЕСТЬ,MY PRECIOUS
MyPrecious2,"На пути вы встречаете торговца, который предлагает Вам купить товар по столь низким ценам, что Вы едва сдерживаетесь, чтобы выкупить все товары. ",You meet a merchant on the way who offers you to buy goods at such low prices that you can hardly restrain yourself from buying all the goods.
MyPrecious3,Согласиться на покупку,Agree to purchase
MyPrecious4,Отказаться от сделки,Refuse the deal
Pyromaniac1,ПИРОМАНЬЯК,PYROMANIAC
Pyromaniac2,"Вы замечаете на пути следы топлива, которые ведут к заправочной станции.",You notice traces of fuel along the way that lead to a gas station.
Pyromaniac3,Пойти к станции,Go to the station
Pyromaniac4,Пройти мимо,Pass it by
Silhouettes1,СИЛУЭТЫ,SILHOUETTES
Silhouettes2,Вдали на пути виднеются силуэты орудий противовоздушной обороны.,In the distance you see the silhouettes of air defense weapons.
Silhouettes3,Ехать навстречу,Ride towards them
Silhouettes4,Объехать орудия,Avoid the guns
PropheticTraveler1,ПУТНИК ВЕЩИЙ,PROPHETIC TRAVELER
PropheticTraveler2,"Пролетая над островом, Вы увидели разбитый корабль, Вы решили попытать удачу и раздобыть ценные детали. Ничего ценного найти не удалось, а грузовой отсек был закрыт.","Flying over the island you saw a wrecked ship. You decided to try your luck and get valuable parts. Nothing of value could be found, and the cargo hold was closed."
PropheticTraveler3,Вскрыть замок,Pick the lock
PropheticTraveler4,Оставить корабль,Leave the ship
NotAThief1,НЕ ПОЙМАН - НЕ ВОР,"NO BLOOD, NO FOUL"
NotAThief2,"На острове команда встречает двух торговцев, которые обвиняют друг друга в краже товаров. Вы внимательно наблюдаете за ними, один из них хорошо одет и достаточно полного телосложения, другой – худощавый и по одеяниям не сильно похож на торговца. ","The crew meets two merchants on the island who accuse each other of stealing goods. You watch them closely, one of them is well dressed and of a fairly full build, the other is thin and does not look much like a merchant in attire."
NotAThief3,Поддержать полного,Support a plump one
NotAThief4,Прав худощавый,The skinny merchant is right
ThornyPath1,ТЕРНИСТЫЙ ПУТЬ,A THORNY PATH
ThornyPath2,"Вы встретили одинокого путника, пытающегося добраться до базы. Он говорит, что хорошо знает эти места, однако, дальнейший участок пути крайне опасен для одинокого путника, и он предлагает вместе проделать этот путь.","You met a lone traveler trying to get to the base. He says that he knows these places well, however, the further section of the path is extremely dangerous for a lonely traveler, and he offers to make this path together."
ThornyPath3,Отказаться,Refuse
ThornyPath4,Согласиться,Accept the proposal
CarelessWanderers1,НЕРАДИВЫЕ СТРАННИКИ,CARELESS WANDERERS
CarelessWanderers2,"Вы встретили группу выживших, у которых закончились запасы топлива. Они просят вас поделиться топливом.",You met a group of survivors who are running out of fuel. They ask you to share fuel.
CarelessWanderers3,Оставить их,Leave them
CarelessWanderers4,Поделиться,Share fuel with them
